dfw25s07-in-f99.1e100.net.	['google.co.in', 'google.co.in', 'google.co.jp', 'google.co.jp', 'google.de', 'google.de', 'google.co.uk', 'google.co.uk', 'google.fr', 'google.fr', 'google.com.br', 'google.com.br', 'google.it', 'google.it', 'google.ru', 'google.ru', 'google.es', 'google.es', 'google.com.mx', 'google.com.mx', 'google.co.kr', 'google.co.kr', 'google.com.tr', 'google.com.tr', 'google.co.id', 'google.co.id', 'google.pl', 'google.pl', 'google.com.tw', 'google.com.tw', 'google.com.au', 'google.com.au', 'google.co.th', 'google.co.th', 'google.com.ar', 'google.com.ar', 'google.nl', 'google.nl', 'google.com.ua', 'google.com.ua', 'google.com.co', 'google.com.co', 'google.com.vn', 'google.com.vn', 'google.com.ph', 'google.com.ph']
drivelive.com.	['live.com']
dvdstudiopro.biz.	['apple.com', 'apple.com']
dvdstudiopro.com.	['apple.com', 'apple.com']
dvdstudiopro.info.	['apple.com', 'apple.com']
dvdstudiopro.net.	['apple.com', 'apple.com']
dvdstudiopro.org.	['apple.com', 'apple.com']
dvdstudiopro.us.	['apple.com', 'apple.com']
earpod.net.	['apple.com', 'apple.com']
ebay.be.	['ebay.co.uk', 'ebay.co.uk']
ebay.ca.	['ebay.co.uk', 'ebay.co.uk']
ebay.ch.	['ebay.co.uk', 'ebay.co.uk']
ebay.co.uk.	['ebay.co.uk', 'ebay.co.uk']
ebay.com.	['ebay.com', 'ebay.com', 'ebay.com']
ebay.com.au.	['ebay.co.uk', 'ebay.co.uk']
ebay.com.hk.	['ebay.co.uk', 'ebay.co.uk']
ebay.com.my.	['ebay.co.uk', 'ebay.co.uk']
ebay.com.sg.	['ebay.co.uk', 'ebay.co.uk']
ebay.de.	['ebay.co.uk', 'ebay.co.uk']
ebay.es.	['ebay.co.uk', 'ebay.co.uk']
ebay.fr.	['ebay.co.uk', 'ebay.co.uk']
ebay.ie.	['ebay.co.uk', 'ebay.co.uk']
ebay.in.	['ebay.co.uk', 'ebay.co.uk']
ebay.it.	['ebay.co.uk', 'ebay.co.uk']
ebay.nl.	['ebay.co.uk', 'ebay.co.uk']
ebay.ph.	['ebay.co.uk']
ebay.pl.	['ebay.co.uk']
ec2-50-112-196-159.us-west-2.compute.amazonaws.com.	['twitch.tv']
ec2-52-36-196-57.us-west-2.compute.amazonaws.com.	['twitch.tv']
ec2-52-41-147-165.us-west-2.compute.amazonaws.com.	['fc2.com']
ec2-52-41-96-17.us-west-2.compute.amazonaws.com.	['twitch.tv']
ec2-52-5-61-187.compute-1.amazonaws.com.	['instagram.com']
ec2-52-54-195-67.compute-1.amazonaws.com.	['instagram.com']
ec2-52-6-199-17.compute-1.amazonaws.com.	['instagram.com']
ec2-52-7-106-91.compute-1.amazonaws.com.	['instagram.com']
ec2-52-7-144-5.compute-1.amazonaws.com.	['instagram.com']
ec2-52-7-149-244.compute-1.amazonaws.com.	['instagram.com']
ec2-52-71-180-58.compute-1.amazonaws.com.	['instagram.com']
ec2-52-72-100-138.compute-1.amazonaws.com.	['instagram.com']
ec2-54-164-245-190.compute-1.amazonaws.com.	['netflix.com']
ec2-54-223-189-245.cn-north-1.compute.amazonaws.com.cn.	['zhihu.com']
ec2-54-69-196-173.us-west-2.compute.amazonaws.com.	['fc2.com']
ec2-54-82-215-17.compute-1.amazonaws.com.	['netflix.com']
ec2-54-83-174-159.compute-1.amazonaws.com.	['netflix.com']
ec2-54-83-229-120.compute-1.amazonaws.com.	['netflix.com']
ec2-54-85-136-126.compute-1.amazonaws.com.	['netflix.com']
ec2-54-85-85-246.compute-1.amazonaws.com.	['netflix.com']
ec2-54-86-223-171.compute-1.amazonaws.com.	['netflix.com']
ec2-54-86-33-138.compute-1.amazonaws.com.	['netflix.com']
edge-star-mini-shv-02-dft4.facebook.com.	['facebook.com']
edu-research.org.	['apple.com', 'apple.com']
expertapple.com.	['apple.com', 'apple.com']
f1.top.vip.kks.yahoo.co.jp.	['yahoo.co.jp']
f1.top.vip.ssk.yahoo.co.jp.	['yahoo.co.jp']
